country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","21-02-2026 10:00:00",16.554731,80.649110,PM2.5,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","21-02-2026 10:00:00",16.554731,80.649110,NH3,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","21-02-2026 10:00:00",16.554731,80.649110,CO,23,51,41
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","21-02-2026 10:00:00",17.72,83.3,OZONE,NA,NA,NA
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","21-02-2026 10:00:00",27.103358,93.679645,PM10,100,500,208
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","21-02-2026 10:00:00",27.103358,93.679645,NH3,1,1,1
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","21-02-2026 10:00:00",26.071318,91.87488,PM2.5,90,340,166
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","21-02-2026 10:00:00",26.071318,91.87488,SO2,21,32,32
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","21-02-2026 10:00:00",26.10887,91.589544,NO2,12,242,26
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","21-02-2026 10:00:00",25.560083,87.553265,NO2,9,10,9
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","21-02-2026 10:00:00",26.0881305,87.93840336,PM2.5,50,120,85
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","21-02-2026 10:00:00",26.0881305,87.93840336,SO2,4,10,8
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","21-02-2026 10:00:00",26.0881305,87.93840336,OZONE,31,33,32
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","21-02-2026 10:00:00",27.308328,84.531742,PM2.5,47,187,79
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","21-02-2026 10:00:00",27.308328,84.531742,OZONE,9,11,10
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","21-02-2026 10:00:00",26.63086,84.90051,NO2,NA,NA,NA
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","21-02-2026 10:00:00",26.63086,84.90051,SO2,NA,NA,NA
India,Bihar,Munger,"Town Hall, Munger - BSPCB","21-02-2026 10:00:00",25.376776,86.471523,SO2,11,77,29
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","21-02-2026 10:00:00",13.67,79.35,CO,5,44,21
